Input:	0000000110110101110000011101010010001101
Output:	0x01B2B106

Input:	0000000011111011111010101010100010000110
Output:	0x00F7769E

Input:	0000000110000001110100100011111010011000
Output:	0x0194345D

Input:	0000000000100011001001100000100101000001
Output:	0x002C6906

Input:	0000000111101010110110010101011110000010
Output:	0x01F15617

Input:	0000000010010000111101110101100101001010
Output:	0x009E169E

Input:	0000000111001011000010011101101100001101
Output:	0x01C16306

Input:	0000000000101111001000011010010111011100
Output:	0x0021E8B6

Input:	0000000010111010001101011111011111001111
Output:	0x00AB4D47

Input:	0000000110010010010000101010001000101100
Output:	0x0186569E

Input:	0000000101000111001111110000110011010011
Output:	0x014CEFEA

Input:	0000000111101111010111100100110001000101
Output:	0x01EDF706

Input:	0000000101000000010010100110110111000110
Output:	0x014412AD

Input:	0000000000100001101001000100100101110111
Output:	0x0038269F

Input:	0000000111101000101000011000101010010110
Output:	0x01F10862

Input:	0000000000100001000101000110000101000111
Output:	0x002825DE

Input:	0000000110100111000000110000111110101001
Output:	0x01A4E106

Input:	0000000001100011000001100111110011011111
Output:	0x006C6698

Input:	0000000001001110100001000101010110100000
Output:	0x0059C0C6

Input:	0000000110010011010110000100010110110011
Output:	0x018277DA

Input:	0000000101110110100101011010101110000101
Output:	0x017AC506

Input:	0000000110101010110100011011010011111010
Output:	0x01B35694

Input:	0000000001100110001010011100010110101011
Output:	0x0060CB1C

Input:	0000000011011101110010111111110001011110
Output:	0x00D7B2E1

Input:	0000000001101010111110011111111010110001
Output:	0x00715F06

Input:	0000000100111100110000101101110010110110
Output:	0x01379691

Input:	0000000010010110011011111100101001111101
Output:	0x008EDB00

Input:	0000000000111000100011110011010010001111
Output:	0x003F0355

Input:	0000000100101000110010110111001110011111
Output:	0x013513A1

Input:	0000000010110010000001001101000111110000
Output:	0x00AA469C

Input:	0000000110100011100000110100010101110000
Output:	0x01B460D4

Input:	0000000110001010100010001110111101000001
Output:	0x01914306

Input:	0000000100011101110110000101101101000110
Output:	0x0113B5E7

Input:	0000000110000001010111100100101011011010
Output:	0x018C3697

Input:	0000000100010011100111011000010110100100
Output:	0x011A6650

Input:	0000000011000010110111111010100100000100
Output:	0x00DC5662

Input:	0000000001001000100001111111011100100110
Output:	0x005D001C

Input:	0000000010010010010000100000011001111101
Output:	0x00865694

Input:	0000000000011011100111110111001110011000
Output:	0x001F664A

Input:	0000000110011100001110010011011101000001
Output:	0x01838F06

Input:	0000000001100100101100110100110001100111
Output:	0x00748DBF

Input:	0000000110000001101100111100111011000001
Output:	0x01942696

Input:	0000000101110101011111001000010110111011
Output:	0x016ABFBD

Input:	0000000010001110101001110010100111100101
Output:	0x009DC906

Input:	0000000000011000100110110111011010110100
Output:	0x001706BF

Input:	0000000010111000111010111101010100010111
Output:	0x00B71696

Input:	0000000000000000001100100101000010101000
Output:	0x00040C75

Input:	0000000010101000111100001110010111110010
Output:	0x00B11C23

Input:	0000000011100011001000001100011100111010
Output:	0x00E068A7

Input:	0000000101101101111000101110101100000101
Output:	0x0175B696

