Input:	000000010011011100101111001011111101100000111110
Output:	0x2F2FD83E

Input:	000000000111100010111101100010110010111010001100
Output:	0xBD8B2E8C

Input:	000000000100111000010111001010111100110111110110
Output:	0x172BCD76

Input:	000000000111010011110101100101101100011110100010
Output:	0xF596C7A2

Input:	000000010110100001111010110001011111111101001111
Output:	0x7AC5FF4F

Input:	000000001111011010000110101110011000101110000101
Output:	0x86B98B85

Input:	000000011111001111010101001001011101101010100001
Output:	0xD525DAA1

Input:	000000000010000001010011011110010001000101011000
Output:	0x53791158

Input:	000000011100001110110010001110110100100110101010
Output:	0xB23B49AA

Input:	000000000010101111011011100100000111011100110110
Output:	0xDB907736

Input:	000000001001101111000101101011111100111001001001
Output:	0xC5AFCE49

Input:	000000000011111000100110100011110101111001110011
Output:	0x268F5E73

Input:	000000001010010100100100010111000000111101101101
Output:	0x245C8F6D

Input:	000000011011101111111001111101111000111101110101
Output:	0xF9F78F75

Input:	000000001011000100010100110110111011111111111010
Output:	0x14DBBFEA

Input:	000000010100100110000110010010101110101001110101
Output:	0x864AEA75

Input:	000000000011010110001100101011111111101001010111
Output:	0x8CAFFA57

Input:	000000010110010001010001001000011001111011010000
Output:	0x51219ED0

Input:	000000011001111001100100110010101011100110011110
Output:	0x64CAB99E

Input:	000000010111010000110000011000010001010111011011
Output:	0x306115DB

Input:	000000000110100110011110001100111101011001000011
Output:	0xDE33D643

Input:	000000011111101111101100101000000001001011100000
Output:	0xECA012E0

Input:	000000001111010000010101100100110101100000011110
Output:	0x1593581E

Input:	000000001001000011100110101100111101101011010110
Output:	0xE6B3DAD6

Input:	000000001011110100110001101101111111000010110011
Output:	0x31B7F0B3

Input:	000000011000100010001000101101011111101001110000
Output:	0x88B5FA70

Input:	000000001110011011000100001011000111011100011011
Output:	0xC42C771B

Input:	000000000101101101111011101111110001110101101110
Output:	0x7BBF1D6E

Input:	000000010000010000001110110011011100011111001101
Output:	0x0ECDC7CD

Input:	000000011000101111100111010010101110110011100011
Output:	0xE74AECE3

Input:	000000000011111101010111000011000011001101001001
Output:	0x570C3349

Input:	000000000100110000010001100000110001111100010100
